timestamp,src_ip,dst_ip,protocol,action,value,packet_size,num_retries,label
2024-01-01 14:01:00,10.0.0.2,8.8.4.4,UDP,BLOCK,-0.06900896585858418,138.73195539030692,6,1
2024-01-01 01:26:00,192.168.1.2,8.8.8.8,TCP,ALLOW,0.35023711993715856,401.3324456897541,3,1
2024-01-01 08:56:00,172.16.0.1,172.16.0.2,UDP,ALLOW,0.8236983710865542,370.043913498899,1,0
2024-01-01 01:11:00,10.0.0.1,8.8.8.8,UDP,BLOCK,0.013655300347368504,272.9037872431312,0,0
2024-01-01 05:27:00,10.0.0.2,8.8.4.4,UDP,BLOCK,-0.37732772286360805,783.9925803376494,4,1
2024-01-01 06:50:00,172.16.0.1,8.8.8.8,ICMP,BLOCK,-0.11698231065037601,1310.4357832551934,7,0
2024-01-01 13:51:00,172.16.0.1,10.0.0.3,TCP,BLOCK,-0.6969176123416896,1445.4938300792628,3,0
2024-01-01 05:03:00,172.16.0.1,8.8.4.4,ICMP,BLOCK,0.2709566747657608,623.8903605680199,9,0
2024-01-01 07:00:00,172.16.0.1,192.168.1.3,ICMP,ALLOW,-0.3353090636905318,217.99632940497446,8,0
2024-01-01 13:22:00,192.168.1.1,8.8.4.4,TCP,BLOCK,0.5423230289854879,1417.9281798734673,1,0
2024-01-01 14:45:00,192.168.1.1,192.168.1.3,ICMP,ALLOW,-0.987168153387874,761.894129419478,3,0
2024-01-01 04:41:00,192.168.1.1,192.168.1.3,UDP,BLOCK,0.16801715466522515,1452.6666625556297,5,0
2024-01-01 16:09:00,192.168.1.1,8.8.4.4,TCP,ALLOW,0.49010853388545184,1293.0955804582895,0,1
2024-01-01 00:55:00,172.16.0.1,8.8.8.8,TCP,BLOCK,-0.07772573940322514,828.1291700762897,9,1
2024-01-01 07:33:00,192.168.1.1,172.16.0.2,ICMP,BLOCK,0.7726376580403462,1005.0464734454554,8,0
2024-01-01 05:49:00,192.168.1.1,8.8.8.8,ICMP,ALLOW,-0.568290927315787,1039.8727746359796,1,1
2024-01-01 10:50:00,10.0.0.1,192.168.1.3,TCP,ALLOW,0.5337169783269275,668.0557663872136,5,0
2024-01-01 09:29:00,10.0.0.1,172.16.0.2,TCP,BLOCK,-0.3372815111197085,738.5571341324969,8,0
2024-01-01 12:45:00,192.168.1.2,192.168.1.3,ICMP,ALLOW,0.663247016355869,282.8856405294258,5,0
2024-01-01 14:09:00,192.168.1.1,8.8.8.8,ICMP,BLOCK,0.14792630929559647,1277.8890937080694,7,0
2024-01-01 05:05:00,10.0.0.2,192.168.1.3,UDP,ALLOW,0.6217790737477491,661.0663032150054,4,0
2024-01-01 04:55:00,10.0.0.2,8.8.4.4,ICMP,BLOCK,0.9091868670259469,356.9554312333689,4,0
2024-01-01 08:42:00,192.168.1.2,10.0.0.3,UDP,BLOCK,0.40009669010367266,1079.0010644605268,9,0
2024-01-01 13:31:00,172.16.0.1,172.16.0.2,UDP,BLOCK,-0.14006286708482385,606.5059520732365,10,0
2024-01-01 06:37:00,172.16.0.1,172.16.0.2,TCP,ALLOW,0.619307724106418,636.4766792209209,9,0
2024-01-01 15:21:00,192.168.1.1,192.168.1.3,TCP,ALLOW,0.4838559397019695,1051.164558193076,10,1
2024-01-01 00:08:00,10.0.0.1,192.168.1.3,UDP,BLOCK,0.9154770437331405,914.5877721728714,8,1
2024-01-01 03:11:00,10.0.0.2,8.8.4.4,TCP,BLOCK,-0.16636394423622636,613.7963177803622,4,1
2024-01-01 03:34:00,10.0.0.2,8.8.8.8,ICMP,ALLOW,0.20765712603173125,1082.9022728928778,8,1
2024-01-01 13:45:00,172.16.0.1,10.0.0.3,TCP,BLOCK,0.9531301240181169,610.0168570875643,10,0
2024-01-01 14:53:00,192.168.1.1,10.0.0.3,ICMP,ALLOW,-0.37607118307857634,425.31177264433495,4,1
2024-01-01 14:16:00,192.168.1.1,8.8.8.8,ICMP,BLOCK,-0.5479383725978217,1343.6045039842766,1,0
2024-01-01 00:30:00,10.0.0.1,10.0.0.3,UDP,BLOCK,0.23541722449623004,601.3398189346715,9,0
2024-01-01 04:50:00,172.16.0.1,10.0.0.3,UDP,BLOCK,0.23307860242030642,1037.402173224761,1,1
2024-01-01 06:53:00,192.168.1.1,8.8.4.4,ICMP,BLOCK,-0.405184551917287,335.6007673704562,5,0
2024-01-01 09:12:00,10.0.0.1,172.16.0.2,UDP,BLOCK,-0.05454142267842754,339.86705450992076,3,1
2024-01-01 15:18:00,192.168.1.2,172.16.0.2,ICMP,ALLOW,-0.4782179158719404,124.36500237900572,8,1
2024-01-01 07:04:00,172.16.0.1,172.16.0.2,TCP,BLOCK,0.028194344752827893,1301.0269173887493,5,1
2024-01-01 15:31:00,192.168.1.1,8.8.4.4,ICMP,BLOCK,0.06167355249572837,1255.0352494996314,9,1
2024-01-01 02:24:00,192.168.1.2,8.8.8.8,TCP,ALLOW,-0.3409049291423034,689.1872303309818,6,1
2024-01-01 15:44:00,10.0.0.1,8.8.8.8,TCP,ALLOW,-0.7891898373320076,1244.6857670512852,7,0
2024-01-01 07:33:00,172.16.0.1,10.0.0.3,UDP,BLOCK,-0.4718945150700766,1373.4468400139292,4,1
